epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,1785.21,0.81419,0.42425,0.98987,0.89582,0.76126,0.85822,0.43729,1.65379,0.76626,1.92178,0.0008516,0.0008516,0.0008516
118,1800.11,0.80557,0.42223,0.97324,0.86906,0.83715,0.894,0.45641,1.67225,0.78805,1.98101,0.0008417,0.0008417,0.0008417
119,1815.16,0.80624,0.41502,0.97704,0.879,0.8018,0.88311,0.42637,1.72423,0.97184,1.9776,0.0008318,0.0008318,0.0008318
120,1831.16,0.7759,0.41703,0.97776,0.89156,0.8148,0.88937,0.49555,1.59507,0.8231,1.9434,0.0008219,0.0008219,0.0008219
121,1849.29,0.80709,0.41182,0.98084,0.89434,0.83333,0.90228,0.47125,1.58821,0.77614,1.89197,0.000812,0.000812,0.000812
122,1866.32,0.7829,0.3989,0.96538,0.89861,0.75858,0.86247,0.44024,1.57778,1.09598,1.81844,0.0008021,0.0008021,0.0008021
123,1881.96,0.79636,0.42586,0.98478,0.89421,0.77928,0.86035,0.42874,1.60111,0.88651,1.76934,0.0007922,0.0007922,0.0007922
124,1896.28,0.77745,0.39768,0.96589,0.8852,0.86036,0.89434,0.46826,1.52147,0.79818,1.79662,0.0007823,0.0007823,0.0007823
125,1910.87,0.77782,0.40733,0.96845,0.88418,0.82532,0.87779,0.47247,1.55903,0.89764,1.86142,0.0007724,0.0007724,0.0007724
126,1926.42,0.79148,0.41312,0.97858,0.86651,0.78829,0.84837,0.40038,1.79302,0.98904,2.05278,0.0007625,0.0007625,0.0007625
127,1941.78,0.75149,0.38988,0.97979,0.91332,0.81081,0.89093,0.48135,1.5688,0.8854,1.83955,0.0007526,0.0007526,0.0007526
128,1957.75,0.76339,0.39304,0.96604,0.91681,0.79429,0.88579,0.46856,1.63039,0.9052,1.9304,0.0007427,0.0007427,0.0007427
129,1972.15,0.79485,0.3992,0.96533,0.8545,0.79363,0.85942,0.41653,1.72324,0.91177,2.01069,0.0007328,0.0007328,0.0007328
130,1986.37,0.79645,0.40268,0.995,0.86699,0.79276,0.86076,0.46215,1.55289,0.86047,1.84463,0.0007229,0.0007229,0.0007229
131,2001.92,0.77549,0.38761,0.96301,0.87137,0.78378,0.84828,0.38624,1.88237,0.96819,2.21726,0.000713,0.000713,0.000713
132,2017.19,0.75519,0.37289,0.95034,0.87978,0.7973,0.87419,0.46551,1.55941,0.7577,1.85985,0.0007031,0.0007031,0.0007031
133,2032.59,0.77824,0.38917,0.95154,0.90974,0.8018,0.87616,0.45947,1.54289,0.79019,1.84196,0.0006932,0.0006932,0.0006932
134,2046.55,0.76655,0.38569,0.96687,0.93119,0.8018,0.87795,0.44765,1.58717,0.82149,1.89293,0.0006833,0.0006833,0.0006833
135,2061.01,0.72781,0.36471,0.95482,0.92738,0.80537,0.86714,0.46121,1.61716,0.75879,1.9399,0.0006734,0.0006734,0.0006734
136,2075.98,0.74652,0.37954,0.97239,0.87643,0.82432,0.87646,0.45509,1.65269,0.85155,1.93967,0.0006635,0.0006635,0.0006635
137,2091.98,0.74355,0.37628,0.93874,0.88671,0.82883,0.89609,0.48772,1.49798,0.8255,1.78129,0.0006536,0.0006536,0.0006536
138,2107.87,0.72126,0.37146,0.93905,0.90001,0.81982,0.90038,0.46899,1.60147,0.79023,1.88016,0.0006437,0.0006437,0.0006437
139,2123.14,0.72722,0.3789,0.95973,0.92124,0.81532,0.89588,0.47324,1.54897,0.74239,1.8314,0.0006338,0.0006338,0.0006338
140,2137.99,0.72302,0.37401,0.94775,0.91364,0.82883,0.89158,0.48254,1.56551,0.80879,1.84641,0.0006239,0.0006239,0.0006239
141,2153.31,0.69309,0.35634,0.93274,0.914,0.81384,0.89351,0.4781,1.5408,0.74057,1.8047,0.000614,0.000614,0.000614
142,2172.54,0.70353,0.35776,0.93794,0.93066,0.82883,0.90634,0.49625,1.54443,0.76748,1.8128,0.0006041,0.0006041,0.0006041
143,2191.18,0.73029,0.37181,0.96393,0.89712,0.82432,0.89824,0.49666,1.48165,0.74351,1.76496,0.0005942,0.0005942,0.0005942
144,2207.54,0.69849,0.36346,0.94849,0.92657,0.85261,0.90604,0.47371,1.57244,0.81607,1.92253,0.0005843,0.0005843,0.0005843
145,2223.16,0.71891,0.37658,0.95664,0.9046,0.81153,0.86545,0.44112,1.61227,0.90869,1.93868,0.0005744,0.0005744,0.0005744
146,2238.13,0.70765,0.36049,0.94521,0.94843,0.82837,0.9049,0.46348,1.63169,0.78552,1.97695,0.0005645,0.0005645,0.0005645
147,2254.02,0.74066,0.38495,0.96296,0.93777,0.80631,0.90005,0.44449,1.69243,0.8509,2.01794,0.0005546,0.0005546,0.0005546
148,2270.76,0.7086,0.36156,0.95485,0.93671,0.79997,0.89495,0.46478,1.57625,0.88473,1.85332,0.0005447,0.0005447,0.0005447
149,2287.3,0.6956,0.35869,0.93276,0.93008,0.7973,0.89808,0.47273,1.57232,0.76745,1.89268,0.0005348,0.0005348,0.0005348
150,2303.43,0.68604,0.35339,0.93132,0.94002,0.77659,0.90033,0.47973,1.55797,0.7634,1.86843,0.0005249,0.0005249,0.0005249
151,2318.6,0.69742,0.36309,0.937,0.91734,0.81532,0.90406,0.47187,1.61598,0.76935,1.92183,0.000515,0.000515,0.000515
152,2333.74,0.69415,0.35405,0.93556,0.9218,0.79647,0.8925,0.4481,1.65984,0.75453,1.96097,0.0005051,0.0005051,0.0005051
153,2350.28,0.66995,0.34655,0.92167,0.89999,0.85586,0.90677,0.49048,1.49674,0.72533,1.79396,0.0004952,0.0004952,0.0004952
